Repo Name,URL,Category,Category,,Sub Category,Parent Category,,,
0aaryan/create.ai,https://github.com/0aaryan/create.ai,video creation,Domain-Specific Applications,,video creation,Domain-Specific Applications,,Domain-Specific Applications,54
voxel51/voxelgpt,https://github.com/voxel51/voxelgpt,data visualization app,Software Development,,data visualization app,Software Development,,Software Development,132
kaushalpowar/Rumi_GPT,https://github.com/kaushalpowar/Rumi_GPT,social app,Software Development,,social app,Software Development,,Learning & Research,78
karan842/cooking-langchain,https://github.com/karan842/cooking-langchain,agent api,Software Development,,agent api,Software Development,,Underdeveloped,29
jiatastic/GPTInterviewer,https://github.com/jiatastic/GPTInterviewer,job interview app,Domain-Specific Applications,,job interview app,Domain-Specific Applications,,,
jbpayton/langchain-stock-screener,jbpayton/langchain-stock-screener,finance app,Domain-Specific Applications,,finance app,Domain-Specific Applications,,,
infiniterik/detoxify,https://github.com/infiniterik/detoxify,research,Learning & Research,,research,Learning & Research,,,
kyegomez/swarms,https://github.com/kyegomez/swarms,agent api,Software Development,,law app,Domain-Specific Applications,,,
haven-jeon/LegalQA,https://github.com/haven-jeon/LegalQA,law app,Domain-Specific Applications,,chatbot/assistant,Software Development,,,
github-prathma/AskVCenter,https://github.com/github-prathma/AskVCenter,chatbot/assistant,Software Development,,platform bot,Software Development,,,
garyb9/twitter-llm-bot,https://github.com/garyb9/twitter-llm-bot,platform bot,Software Development,,library/plugin,Software Development,,,
farukalamai/ai-chatbot-using-Langchain-Pinecone,https://github.com/farukalamai/ai-chatbot-using-Langchain-Pinecone,chatbot/assistant,Software Development,,examples,Learning & Research,,,
explodinggradients/ragas,https://github.com/explodinggradients/ragas,library/plugin,Software Development,,agent,Software Development,,,
ericmjl/llamabot,https://github.com/ericmjl/llamabot,research,Learning & Research,,IM chatbot,Software Development,,,
webgrip/PuttyGPT,https://github.com/webgrip/PuttyGPT,chatbot/assistant,Software Development,,website app,Software Development,,,
langchain-ai/langchain-benchmarks,https://github.com/langchain-ai/langchain-benchmarks,research,Learning & Research,,game app,Domain-Specific Applications,,,
langfuse/langfuse-python,https://github.com/langfuse/langfuse-python,agent api,Software Development,,podcast app,Domain-Specific Applications,,,
venkytv/botmand,https://github.com/venkytv/botmand,platform bot,Software Development,,student project,Learning & Research,,,
shroominic/codeinterpreter-api,https://github.com/shroominic/codeinterpreter-api,agent api,Software Development,,generator app,Domain-Specific Applications,,,
salesforce/DialogStudio,https://github.com/salesforce/DialogStudio,examples,Learning & Research,,underdeveloped,Underdeveloped,,,
romaingrx/Second-Order-Jailbreak,https://github.com/romaingrx/Second-Order-Jailbreak,research,Learning & Research,,policy/civic app,Domain-Specific Applications,,,
sixvo-labs/Sapir,https://github.com/sixvo-labs/Sapir,examples,Learning & Research,,name generator app,Domain-Specific Applications,,,
pors/langchain-chat-websockets,https://github.com/pors/langchain-chat-websockets,research,Learning & Research,,weather forecast app,Domain-Specific Applications,,,
